ProbeFileID|TrainCamID|OutputProbeMaskFileName|ConfidenceScore|ProbeStatus|ProbeOptOutPixelValue
75124de734fb7a0d302c57524bbd8c29|PAR-1476_primary_image||32.09|Processed|
b5c7a2027c306ac992fe875cc565f4c3|PAR-1476_primary_image||52167.79|Processed|
fc90ed31f90837bc97476498c27b6867|PAR-1476_primary_image||30.47|Processed|
e459bab5e3de16cd8b1977714cbc10b2|PAR-1476_primary_image||38152.22|Processed|
3b0114e59350c87c7a369c57e1078fb7|PAR-1476_primary_image||4902.27|Processed|
a43eeb332ad530dddb208641e836618a|PAR-1476_primary_image||42447.26|Processed|
fd3300157643cd92d89a24c4962e6aff|PAR-1476_primary_image||33.49|Processed|
78e5e08e5f14ff48d2eb85bcdaad7649|PAR-1476_primary_image||32.09|Processed|
354861875d81556ebe0b73acc732cf5c|PAR-1476_primary_image||30.07|Processed|
c50027ff2b8cd867687487b9f9ffb471|PAR-1476_primary_image||33.41|Processed|
bbf5a2b6436c339ec762529d29131da1|PAR-1476_primary_image||29.75|Processed|
b1de0a1742805ada8de97d7e932010eb|PAR-1476_primary_image||33.01|Processed|
9a30d0c6415a4e92c811e93412848970|PAR-1476_primary_image||28.12|Processed|
bb5c7f69b40b5372f082a4675efb88e4|PAR-1476_primary_image||31.44|Processed|
e507d2f00f1b718e9bca527b05b2128c|PAR-1476_primary_image||31.75|Processed|
2e57c044dae9b2af5787ce189cc6ae74|PAR-1476_primary_image||76856.25|Processed|
7fed87493cd01ddce79c40239067f4db|PAR-1476_primary_image||70737.67|Processed|
b672d4011961c4f3192808aef8cd2ce4|PAR-1476_primary_image||70651.66|Processed|
86d19c8a8a5351ec0d941cc168c69e2c|PAR-1476_primary_image||77124.83|Processed|
cf7aa84e9a53b7d2b5c82a3409a07859|PAR-1476_primary_image||72134.46|Processed|
821f23d080992f3c4d4101f169f5cdb4|PAR-1476_primary_image||92.38|Processed|
5026b9dbf37c764760e1b5a1fc7f65b0|PAR-1476_primary_image||83.56|Processed|
845ea69a45bf12a1d98044899c6c4edc|PAR-1476_primary_image||78211.52|Processed|
a6cfcf9178cc9da1a3344d7c6407da48|PAR-1476_primary_image||33.48|Processed|
95cde72ab933dab8422b189b05adb767|PAR-1476_primary_image||33.11|Processed|
88a5914c9802a4b82583bff9d6682b1e|PAR-1476_primary_image||31.61|Processed|
e2f0d5e96fcc94c109ee60f857e2c4c0|PAR-1476_primary_image||30.79|Processed|
5e128d2d995d2ff8d6c4941628f119bb|PAR-1476_primary_image||41.03|Processed|
563893aa02955d1a6aa43c387db81002|PAR-1476_primary_image||27.27|Processed|
f6f28d6936e718d39135b2e26ceb474f|PAR-1476_primary_image||28.39|Processed|
245c842854ddf6de3f926402c253110e|PAR-1476_primary_image||30.11|Processed|
ae5a694977433b0495899686a2d86652|PAR-1476_primary_image||28.99|Processed|
e8431a348957519db901df7913078264|PAR-1476_primary_image||44088.8|Processed|
e0a9705c550d243e77876329ef07126e|PAR-1476_primary_image||33966.99|Processed|
adc1067536a39f63c7a38a19154c7364|PAR-1476_primary_image||29.28|Processed|
3e9ade12c24c7769aea27f7f5f82c01a|PAR-1476_primary_image||-1|OptOutAll|
58aa2aba12fb72c93221964ab87337eb|PAR-1476_primary_image||35598.04|Processed|
1985ba035f360e9020c44f736b65c56c|PAR-1476_primary_image||37.11|Processed|
f38f3fa2e7ae9635c3cca58df090b6e7|PAR-1476_primary_image||26.57|Processed|
307a60ce651f1747a23a0872f36624a9|PAR-1476_primary_image||-1|OptOutAll|
b3957ec934543455c95ca96c833a2baf|PAR-1476_primary_image||34.13|Processed|
3738b6e0f3edc5db9084743bb60451b8|PAR-1476_primary_image||32.39|Processed|
b83cf1860d3eae59592d7abc2f167ea2|PAR-1476_primary_image||39.99|Processed|
2fbc3c42fd3090e8d24b12ab11e19d2c|PAR-1476_primary_image||19256.33|Processed|
1dd22cefa53f041998f1d61c501e01b1|PAR-1476_primary_image||32.11|Processed|
3cd2206040b79dca0ffd2c85c183d78c|PAR-1476_primary_image||28.25|Processed|
d04cbf267e5d020f89f2eeeff443ecdc|PAR-1476_primary_image||27.19|Processed|
842c42cc0a898d4d7d3a1fe14aa8e99d|PAR-1476_primary_image||28.23|Processed|
a94fd6360e29c70bad6243ab2806f1c3|PAR-1476_primary_image||33.47|Processed|
dc2add8076cdb34868680754c59d1592|PAR-1476_primary_image||12309.35|Processed|
1b7efe0ab98f8d8a9b727e71884a0d2b|PAR-1476_primary_image||73324.13|Processed|
b3c6cce5515bfd8ad06003331279d993|PAR-1476_primary_image||34.47|Processed|
2cdf2c4b035eac9a0fca13ddbd828ac4|PAR-1476_primary_image||27.77|Processed|
c26c1e23bd91189bfe199a850205720f|PAR-1476_primary_image||46114.59|Processed|
75a715374bd7c365f6cd71b8057ba31a|PAR-1476_primary_image||9834.17|Processed|
9a7e809ea17a97e6db82d8b23c5d5ea0|PAR-1476_primary_image||38451.79|Processed|
b6c4c2abd01e5eeca159cdd51623b2c2|PAR-1476_primary_image||47108.07|Processed|
6c541d8a7e0fdbe398bcacebe93166aa|PAR-1476_primary_image||44203.28|Processed|
ab0247f5cf575ee992ac29c53e1d1b00|PAR-1476_primary_image||76672.67|Processed|
c63fd7920513fcea4bcf1d45cf75ea59|PAR-1476_primary_image||32.58|Processed|
