JournalName|StartNodeID|EndNodeID|Operation|Color|Purpose|OperationArgument|AutoDesignName|VideoTime|VideoFrame|AudioTime|AudioFrame
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_03|001c934acb38a59cb28b680b79485dcd_09|AddAudioSample|73 18 36||||[]|[]|[[0.0208333333333,20904.0]]|[[0.0208333333333,20904.0]]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_01|001c934acb38a59cb28b680b79485dcd_03|AudioReverb|146 36 72||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_01|001c934acb38a59cb28b680b79485dcd_07|AudioReverb|219 54 108||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_01|001c934acb38a59cb28b680b79485dcd_05|AudioReverb|36 73 144||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_07|001c934acb38a59cb28b680b79485dcd_15|Donor|||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_15|001c934acb38a59cb28b680b79485dcd_26|SocialMedia|109 91 180||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_15|001c934acb38a59cb28b680b79485dcd_28|SocialMedia|182 109 216||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_05|001c934acb38a59cb28b680b79485dcd_12|Donor|||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_09|001c934acb38a59cb28b680b79485dcd_18|SocialMedia|255 127 252||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_09|001c934acb38a59cb28b680b79485dcd_20|SocialMedia|73 146 32||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_12|001c934acb38a59cb28b680b79485dcd_24|SocialMedia|146 164 68||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_12|001c934acb38a59cb28b680b79485dcd_22|SocialMedia|219 182 104||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_01|AudioSample|109 219 176||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_15|AddAudioSample|36 201 140||||[]|[]|[[0.000645833333333,20821.3333333]]|[[0.000645833333333,20821.3333333]]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_09|Donor|||||[]|[]|[]|[]
001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd|001c934acb38a59cb28b680b79485dcd_12|AddAudioSample|182 237 212||||[]|[]|[[0.000645833333333,20821.3333333]]|[[0.000645833333333,20821.3333333]]
04ef4681bfe12d30bfc8885cfa3b66ba|da1acb6f198f2b472f4bf8269de0cc23|04ef4681bfe12d30bfc8885cfa3b66ba_20|Donor|||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|da1acb6f198f2b472f4bf8269de0cc23|04ef4681bfe12d30bfc8885cfa3b66ba_26|Donor|||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_08|04ef4681bfe12d30bfc8885cfa3b66ba_15|TimeAlterationWarp|0 126 255||||[[46454.8494983,46588.6287625]]|[[1390,1392]]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_08|04ef4681bfe12d30bfc8885cfa3b66ba_12|AntiForensicCopyExif|0 247 250||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_10|04ef4681bfe12d30bfc8885cfa3b66ba_20|AddCamFingerprintPRNU|0 255 132||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_10|04ef4681bfe12d30bfc8885cfa3b66ba_17|AntiForensicCopyExif|0 255 6||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_03|04ef4681bfe12d30bfc8885cfa3b66ba_05|AntiForensicCopyExif|120 255 0||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_03|04ef4681bfe12d30bfc8885cfa3b66ba_10|TimeAlterationWarp|244 253 0||||[[41672.2408027,41806.0200669]]|[[1247,1249]]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_01|04ef4681bfe12d30bfc8885cfa3b66ba_03|SelectCutFrames|255 138 0||||[[41615.5988858,41649.0250696]]|[[1246,1247]]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_01|04ef4681bfe12d30bfc8885cfa3b66ba_08|CopyPaste|255 12 0||||[[41615.5988858,46428.9693593]]|[[1246,1389]]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_20|04ef4681bfe12d30bfc8885cfa3b66ba_26|AntiForensicCopyExif|255 0 114||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_15|04ef4681bfe12d30bfc8885cfa3b66ba_23|AntiForensicCopyExif|144 0 255||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_23|Donor|||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_17|Donor|||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_12|Donor|||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_05|Donor|||||[]|[]|[]|[]
04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba|04ef4681bfe12d30bfc8885cfa3b66ba_01|OutputAVI|255 0 240||||[]|[]|[]|[]
071ab744b24e2d8a07747e8772fd6726|03_Orange_BK|04_CGI_POSTER|OverlayObject|0 16 0||||[[0.0,10510.5]]|[[1,252]]|[]|[]
071ab744b24e2d8a07747e8772fd6726|04_CGI_combined|youtube-16_04_CGI_combined.avi_18 - 640x360 (medium)|SocialMedia|0 32 0||||[]|[]|[]|[]
071ab744b24e2d8a07747e8772fd6726|04_CGI_combined|youtube-16_04_CGI_combined.avi_22 - 1280x720 (hd720)|SocialMedia|0 48 0||||[]|[]|[]|[]
071ab744b24e2d8a07747e8772fd6726|04_CGI_combined|_16_04_combined|SocialMedia|0 64 0||||[]|[]|[]|[]
071ab744b24e2d8a07747e8772fd6726|04_CGI_combined|youtube-16_04_CGI_combined.avi_36 - 320x180 (small)|SocialMedia|0 80 0||||[]|[]|[]|[]
071ab744b24e2d8a07747e8772fd6726|685603f2253cb1c4e29e69bb50bc1e5a|03_windows_combined|Donor|||||[]|[]|[]|[]
071ab744b24e2d8a07747e8772fd6726|04_CGI_POSTER_04|04_CGI_combined|AddAudioSample|0 96 0||||[]|[]|[[0.0,10510.5]]|[[0.0,10510.5]]
071ab744b24e2d8a07747e8772fd6726|03_windows_combined|youtube-03_windows_combined.avi_36 - 320x180 (small)|SocialMedia|0 112 0||||[]|[]|[]|[]
071ab744b24e2d8a07747e8772fd6726|03_windows_combined|youtube-03_windows_combined.avi_18 - 640x360 (medium)|SocialMedia|0 128 0||||[]|[]|[]|[]
071ab744b24e2d8a07747e8772fd6726|03_windows_combined|yt_03_window_combined|SocialMedia|0 144 0||||[]|[]|[]|[]
071ab744b24e2d8a07747e8772fd6726|03_windows_combined|youtube-03_windows_combined.avi_22 - 1280x720 (hd720)|SocialMedia|0 160 0||||[]|[]|[]|[]
