TaskID|ProbeFileID|ProbeFileName|TrainCamID|IsTarget|IsManipulated|ProbeMaskFileName|ProbeBitPlaneMaskFileName|BaseFileName|ProbeBrowserFileName|JournalName|JournalSource|HPDeviceID
camera|75124de734fb7a0d302c57524bbd8c29|probe/75124de734fb7a0d302c57524bbd8c29.jpg|PAR-1476_primary_image|N|N||||75124de734fb7a0d302c57524bbd8c29.jpg|||PAR-1476
camera|b5c7a2027c306ac992fe875cc565f4c3|probe/b5c7a2027c306ac992fe875cc565f4c3.jpg|PAR-1476_primary_image|Y|N||||b5c7a2027c306ac992fe875cc565f4c3.jpg|||PAR-1476
camera|fc90ed31f90837bc97476498c27b6867|probe/fc90ed31f90837bc97476498c27b6867.jpg|PAR-1476_primary_image|N|N||||fc90ed31f90837bc97476498c27b6867.jpg|||PAR-1476
camera|e459bab5e3de16cd8b1977714cbc10b2|probe/e459bab5e3de16cd8b1977714cbc10b2.jpg|PAR-1476_primary_image|Y|N||||e459bab5e3de16cd8b1977714cbc10b2.jpg|||PAR-1476
camera|3b0114e59350c87c7a369c57e1078fb7|probe/3b0114e59350c87c7a369c57e1078fb7.jpg|PAR-1476_primary_image|Y|N||||3b0114e59350c87c7a369c57e1078fb7.jpg|||PAR-1476
camera|a43eeb332ad530dddb208641e836618a|probe/a43eeb332ad530dddb208641e836618a.jpg|PAR-1476_primary_image|Y|N||||a43eeb332ad530dddb208641e836618a.jpg|||PAR-1476
camera|fd3300157643cd92d89a24c4962e6aff|probe/fd3300157643cd92d89a24c4962e6aff.jpg|PAR-1476_primary_image|N|N||||fd3300157643cd92d89a24c4962e6aff.jpg|||PAR-1476
camera|78e5e08e5f14ff48d2eb85bcdaad7649|probe/78e5e08e5f14ff48d2eb85bcdaad7649.png|PAR-1476_primary_image|N|Y|reference/camera/mask/44dfdf000c0e009e51043478b6d75fec.ccm.png|reference/camera/mask/5b22ba09f1f3bcf1a08423e20a453429.bpm.jp2|probe/1bdd0a3533fc9293746160bdd290734b.jpg|78e5e08e5f14ff48d2eb85bcdaad7649.png|1bdd0a3533fc9293746160bdd290734b|human|PAR-1476
camera|354861875d81556ebe0b73acc732cf5c|probe/354861875d81556ebe0b73acc732cf5c.jpg|PAR-1476_primary_image|N|N||||354861875d81556ebe0b73acc732cf5c.jpg|||PAR-1476
camera|c50027ff2b8cd867687487b9f9ffb471|probe/c50027ff2b8cd867687487b9f9ffb471.jpg|PAR-1476_primary_image|N|Y|reference/camera/mask/2fb74dd20a8ac60423caed73d0a904ca.ccm.png|reference/camera/mask/8dc803967c53de46760ce22e258d25ca.bpm.jp2|probe/02d94e21a1c46ddf3c1d8af6d7184b82.jpg|c50027ff2b8cd867687487b9f9ffb471.jpg|02d94e21a1c46ddf3c1d8af6d7184b82|human|PAR-1476
camera|bbf5a2b6436c339ec762529d29131da1|probe/bbf5a2b6436c339ec762529d29131da1.jpg|PAR-1476_primary_image|N|Y|reference/camera/mask/1adf52a45396f4f81364e5af6c44649c.ccm.png|reference/camera/mask/8f5c798e81d909aa2d0bfc54880385ee.bpm.jp2|probe/65dc67ba7096a1dab47bdb6450ac6064.jpg|bbf5a2b6436c339ec762529d29131da1.jpg|65dc67ba7096a1dab47bdb6450ac6064|human|PAR-1476
camera|b1de0a1742805ada8de97d7e932010eb|probe/b1de0a1742805ada8de97d7e932010eb.jpg|PAR-1476_primary_image|Y|N||||b1de0a1742805ada8de97d7e932010eb.jpg|||PAR-1476
camera|9a30d0c6415a4e92c811e93412848970|probe/9a30d0c6415a4e92c811e93412848970.jpg|PAR-1476_primary_image|N|Y|reference/camera/mask/fb6a7a1efd6ca1a4d3bb4bfd3f7f4155.ccm.png|reference/camera/mask/bbb8a779ba94ddc3e5d0a6128794c527.bpm.jp2|probe/82b07d7206d878d96a56c67d42a624c0.jpg|9a30d0c6415a4e92c811e93412848970.jpg|82b07d7206d878d96a56c67d42a624c0|human|PAR-1476
camera|bb5c7f69b40b5372f082a4675efb88e4|probe/bb5c7f69b40b5372f082a4675efb88e4.jpg|PAR-1476_primary_image|N|N||||bb5c7f69b40b5372f082a4675efb88e4.jpg|||PAR-1476
camera|e507d2f00f1b718e9bca527b05b2128c|probe/e507d2f00f1b718e9bca527b05b2128c.jpg|PAR-1476_primary_image|N|N||||e507d2f00f1b718e9bca527b05b2128c.jpg|||PAR-1476
camera|2e57c044dae9b2af5787ce189cc6ae74|probe/2e57c044dae9b2af5787ce189cc6ae74.jpg|PAR-1476_primary_image|Y|Y|reference/camera/mask/f725d7b55abe6d143cac2aec1c675b59.ccm.png|reference/camera/mask/92b68f25a609006bbfc9cdedd1479851.bpm.jp2|probe/cc284f3be435c50d380a8cf26b098256.jpg|2e57c044dae9b2af5787ce189cc6ae74.jpg|73fd30709c9ae80feb2c0a5e95174695|human|PAR-1476
camera|7fed87493cd01ddce79c40239067f4db|probe/7fed87493cd01ddce79c40239067f4db.jpg|PAR-1476_primary_image|Y|Y|reference/camera/mask/8ec353bb77dfad4c011d6eb36ecd51ac.ccm.png|reference/camera/mask/92b68f25a609006bbfc9cdedd1479851.bpm.jp2|probe/cc284f3be435c50d380a8cf26b098256.jpg|7fed87493cd01ddce79c40239067f4db.jpg|73fd30709c9ae80feb2c0a5e95174695|human|PAR-1476
camera|b672d4011961c4f3192808aef8cd2ce4|probe/b672d4011961c4f3192808aef8cd2ce4.png|PAR-1476_primary_image|Y|Y|reference/camera/mask/8ec353bb77dfad4c011d6eb36ecd51ac.ccm.png|reference/camera/mask/92b68f25a609006bbfc9cdedd1479851.bpm.jp2|probe/cc284f3be435c50d380a8cf26b098256.jpg|b672d4011961c4f3192808aef8cd2ce4.png|73fd30709c9ae80feb2c0a5e95174695|human|PAR-1476
camera|86d19c8a8a5351ec0d941cc168c69e2c|probe/86d19c8a8a5351ec0d941cc168c69e2c.png|PAR-1476_primary_image|Y|Y|reference/camera/mask/f725d7b55abe6d143cac2aec1c675b59.ccm.png|reference/camera/mask/92b68f25a609006bbfc9cdedd1479851.bpm.jp2|probe/cc284f3be435c50d380a8cf26b098256.jpg|86d19c8a8a5351ec0d941cc168c69e2c.png|73fd30709c9ae80feb2c0a5e95174695|human|PAR-1476
camera|cf7aa84e9a53b7d2b5c82a3409a07859|probe/cf7aa84e9a53b7d2b5c82a3409a07859.jpg|PAR-1476_primary_image|Y|Y|reference/camera/mask/8ec353bb77dfad4c011d6eb36ecd51ac.ccm.png|reference/camera/mask/92b68f25a609006bbfc9cdedd1479851.bpm.jp2|probe/cc284f3be435c50d380a8cf26b098256.jpg|cf7aa84e9a53b7d2b5c82a3409a07859.jpg|73fd30709c9ae80feb2c0a5e95174695|human|PAR-1476
camera|821f23d080992f3c4d4101f169f5cdb4|probe/821f23d080992f3c4d4101f169f5cdb4.jpg|PAR-1476_primary_image|Y|Y|reference/camera/mask/f4f3398c89ea82c32a1b887e34d85bcb.ccm.png|reference/camera/mask/2f113e28f99c47cdb4fe2c4fbe270991.bpm.jp2|probe/cc284f3be435c50d380a8cf26b098256.jpg|821f23d080992f3c4d4101f169f5cdb4.jpg|73fd30709c9ae80feb2c0a5e95174695|human|PAR-1476
camera|5026b9dbf37c764760e1b5a1fc7f65b0|probe/5026b9dbf37c764760e1b5a1fc7f65b0.jpg|PAR-1476_primary_image|Y|Y|reference/camera/mask/19bc63ae97623080ab9c4f3fff6780df.ccm.png|reference/camera/mask/2f113e28f99c47cdb4fe2c4fbe270991.bpm.jp2|probe/cc284f3be435c50d380a8cf26b098256.jpg|5026b9dbf37c764760e1b5a1fc7f65b0.jpg|73fd30709c9ae80feb2c0a5e95174695|human|PAR-1476
camera|845ea69a45bf12a1d98044899c6c4edc|probe/845ea69a45bf12a1d98044899c6c4edc.jpg|PAR-1476_primary_image|Y|Y|reference/camera/mask/f725d7b55abe6d143cac2aec1c675b59.ccm.png|reference/camera/mask/92b68f25a609006bbfc9cdedd1479851.bpm.jp2|probe/cc284f3be435c50d380a8cf26b098256.jpg|845ea69a45bf12a1d98044899c6c4edc.jpg|73fd30709c9ae80feb2c0a5e95174695|human|PAR-1476
camera|a6cfcf9178cc9da1a3344d7c6407da48|probe/a6cfcf9178cc9da1a3344d7c6407da48.jpg|PAR-1476_primary_image|N|N|||probe/a6cfcf9178cc9da1a3344d7c6407da48.jpg|a6cfcf9178cc9da1a3344d7c6407da48.jpg|a6cfcf9178cc9da1a3344d7c6407da48|human|PAR-1476
camera|95cde72ab933dab8422b189b05adb767|probe/95cde72ab933dab8422b189b05adb767.jpg|PAR-1476_primary_image|N|N||||95cde72ab933dab8422b189b05adb767.jpg|||PAR-1476
camera|88a5914c9802a4b82583bff9d6682b1e|probe/88a5914c9802a4b82583bff9d6682b1e.jpg|PAR-1476_primary_image|N|Y|reference/camera/mask/9d12ab29639396631129f9e963c1d442.ccm.png|reference/camera/mask/6a2c17b35b439358730386e387cd023f.bpm.jp2|probe/0aec6fe0d9f7ca374aa159fcc408c175.jpg|88a5914c9802a4b82583bff9d6682b1e.jpg|0aec6fe0d9f7ca374aa159fcc408c175|human|PAR-1476
camera|e2f0d5e96fcc94c109ee60f857e2c4c0|probe/e2f0d5e96fcc94c109ee60f857e2c4c0.jpg|PAR-1476_primary_image|N|Y|reference/camera/mask/50a854a47ad078918930735c74b86242.ccm.png|reference/camera/mask/eec8ba98d0c5fd2e233bccc149dc0557.bpm.jp2|probe/aff7052de07fa6dfe3e524373df387cc.jpg|e2f0d5e96fcc94c109ee60f857e2c4c0.jpg|aff7052de07fa6dfe3e524373df387cc|human|PAR-1476
camera|5e128d2d995d2ff8d6c4941628f119bb|probe/5e128d2d995d2ff8d6c4941628f119bb.jpg|PAR-1476_primary_image|N|N||||5e128d2d995d2ff8d6c4941628f119bb.jpg|||PAR-1476
camera|563893aa02955d1a6aa43c387db81002|probe/563893aa02955d1a6aa43c387db81002.jpg|PAR-1476_primary_image|N|N||||563893aa02955d1a6aa43c387db81002.jpg|||PAR-1476
camera|f6f28d6936e718d39135b2e26ceb474f|probe/f6f28d6936e718d39135b2e26ceb474f.jpg|PAR-1476_primary_image|N|Y|reference/camera/mask/f1dc90976d9d1c54ca88c93106386efd.ccm.png|reference/camera/mask/d8ca28edc5827d9068b3d7fb6db09bc4.bpm.jp2|probe/c26968c8894e529392af90f0f4fdf9cf.jpg|f6f28d6936e718d39135b2e26ceb474f.jpg|c26968c8894e529392af90f0f4fdf9cf|human|PAR-1476
